date,sum_weights,min_weight,max_weight,turnover,turnover_cap_pass,fully_invested_pass,long_only_pass,no_leverage_pass,period
2014-06-06,0.9999999999999999,0.0,0.44444444444444436,0.2222222222222221,True,True,True,True,train
2014-06-13,0.9999999999999999,0.0,0.44444444444444436,0.0,True,True,True,True,train
2014-06-20,1.0,0.1,0.4,0.1999999999999998,True,True,True,True,train
2014-06-27,1.0,0.1,0.4,0.0,True,True,True,True,train
2014-07-03,1.0,0.1,0.4,0.0,True,True,True,True,train
2014-07-11,1.0,0.1,0.4,0.0,True,True,True,True,train
2014-07-18,1.0,0.1,0.4,0.19999999999999996,True,True,True,True,train
2014-07-25,1.0,0.1,0.4,0.19999999999999996,True,True,True,True,train
2014-08-01,1.0,0.1,0.4,0.19999999999999996,True,True,True,True,train
2014-08-08,1.0,0.10000000000000002,0.4000000000000001,0.20000000000000012,True,True,True,True,train
2014-08-15,1.0,0.02968749999999999,0.43125,0.25,True,True,True,True,train
2014-08-22,0.9999999999999999,0.0,0.44444444444444436,0.10555555555555542,True,True,True,True,train
2014-08-29,0.9999999999999999,0.0,0.44444444444444436,0.0,True,True,True,True,train
